TimeStep[s];Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
1.50003;4203;0;0;0;0;4203

Pos.x[m];Pos.y[m];Pos.z[m];Idp;Vel.x[m/s];Vel.y[m/s];Vel.z[m/s];Rhop[kg/m^3];Press[Pa];Type;
3.3109188e-01;0.0000000e+00;1.2730905e-01;3407;-8.0958859e-04;0.0000000e+00;-4.2983356e-05;1.0023092e+03;3.3303813e+03;3;
3.3219454e-01;0.0000000e+00;1.3199958e-01;3408;-9.5271686e-04;0.0000000e+00;8.5191095e-05;1.0032655e+03;4.7231182e+03;3;
3.3459687e-01;0.0000000e+00;1.2275559e-01;3480;-3.0289619e-04;0.0000000e+00;-1.6201777e-05;1.0042332e+03;6.1406094e+03;3;
3.3621949e-01;0.0000000e+00;1.2791821e-01;3481;-8.9504512e-04;0.0000000e+00;-1.6839901e-04;1.0026285e+03;3.7944819e+03;3;
3.3972737e-01;0.0000000e+00;1.2462513e-01;3552;-4.8925629e-04;0.0000000e+00;-7.6253076e-05;1.0027864e+03;4.0243315e+03;3;
3.4082416e-01;0.0000000e+00;1.3016436e-01;3553;-4.7878968e-04;0.0000000e+00;-6.1104068e-04;1.0027579e+03;3.9828235e+03;3;
3.4498885e-01;0.0000000e+00;1.2588011e-01;3626;-2.0569276e-04;0.0000000e+00;-2.2389620e-04;1.0035748e+03;5.1752344e+03;3;
3.4566459e-01;0.0000000e+00;1.3109539e-01;3627;-3.4080190e-04;0.0000000e+00;-3.4012774e-04;1.0025710e+03;3.7108411e+03;3;
3.4963143e-01;0.0000000e+00;1.2594272e-01;3687;-6.7336105e-06;0.0000000e+00;-2.8732989e-05;1.0045621e+03;6.6242744e+03;3;
3.5033074e-01;0.0000000e+00;1.3205653e-01;3699;-1.5600688e-04;0.0000000e+00;-2.2044520e-04;1.0027521e+03;3.9744695e+03;3;
3.5359100e-01;0.0000000e+00;1.2771031e-01;3758;6.7698704e-05;0.0000000e+00;-3.8136499e-05;1.0040209e+03;5.8289619e+03;3;
3.5845035e-01;0.0000000e+00;1.3032997e-01;3819;-1.7848615e-05;0.0000000e+00;1.1824199e-04;1.0029689e+03;4.2902573e+03;3;
3.6330563e-01;0.0000000e+00;1.3102508e-01;3888;-6.7705922e-05;0.0000000e+00;-9.7189601e-05;1.0020225e+03;2.9143247e+03;3;
3.6856994e-01;0.0000000e+00;1.3327654e-01;3951;1.4884426e-04;0.0000000e+00;-3.5331577e-05;1.0026290e+03;3.7952812e+03;3;
2.0106408e-01;0.0000000e+00;1.5003689e-01;1597;3.2829253e-06;0.0000000e+00;3.1336691e-05;1.0037130e+03;5.3775156e+03;3;
2.0557359e-01;0.0000000e+00;1.4673093e-01;1646;-1.0402208e-04;0.0000000e+00;7.5274111e-05;1.0038424e+03;5.5671724e+03;3;
2.0887974e-01;0.0000000e+00;1.4371443e-01;1701;-6.7597874e-05;0.0000000e+00;6.3659486e-06;1.0037579e+03;5.4434004e+03;3;
2.1304518e-01;0.0000000e+00;1.4229317e-01;1758;-6.7456731e-06;0.0000000e+00;-5.3793799e-05;1.0037214e+03;5.3899404e+03;3;
2.1336845e-01;0.0000000e+00;1.4740483e-01;1759;-1.1283469e-04;0.0000000e+00;-9.7942597e-05;1.0026285e+03;3.7945708e+03;3;
2.1803539e-01;0.0000000e+00;1.4545459e-01;1818;-5.7434149e-06;0.0000000e+00;-1.3588437e-04;1.0023129e+03;3.3357883e+03;3;
2.0948802e-01;0.0000000e+00;1.5017819e-01;1702;-7.5622142e-05;0.0000000e+00;5.8754376e-05;1.0026329e+03;3.8009648e+03;3;
2.2143638e-01;0.0000000e+00;1.4871141e-01;1823;5.4185960e-04;0.0000000e+00;-8.1166456e-04;1.0030612e+03;4.4249321e+03;3;
2.1854740e-01;0.0000000e+00;1.3921602e-01;1817;4.7179927e-07;0.0000000e+00;1.7910674e-05;1.0031712e+03;4.5854282e+03;3;
2.2220302e-01;0.0000000e+00;1.3732925e-01;1875;7.1722454e-05;0.0000000e+00;1.7263834e-05;1.0025942e+03;3.7445781e+03;3;
2.2203662e-01;0.0000000e+00;1.4293875e-01;1876;2.9091863e-04;0.0000000e+00;-2.9775195e-04;1.0029952e+03;4.3287031e+03;3;
2.2739813e-01;0.0000000e+00;1.3569503e-01;1933;2.8899367e-04;0.0000000e+00;-5.1898276e-04;1.0029089e+03;4.2027988e+03;3;
2.2697546e-01;0.0000000e+00;1.4070621e-01;1934;4.8497692e-04;0.0000000e+00;-8.2579110e-04;1.0028578e+03;4.1284438e+03;3;
2.2652422e-01;0.0000000e+00;1.4579131e-01;1935;6.1315752e-04;0.0000000e+00;-1.0449557e-03;1.0027361e+03;3.9511860e+03;3;
2.3155068e-01;0.0000000e+00;1.4248461e-01;1997;6.2868354e-04;0.0000000e+00;-1.9980993e-03;1.0029315e+03;4.2358037e+03;3;
2.3101334e-01;0.0000000e+00;1.4801128e-01;1998;4.3087706e-04;0.0000000e+00;-1.4291607e-03;1.0027411e+03;3.9583840e+03;3;
2.3284052e-01;0.0000000e+00;1.3790104e-01;2060;1.6196588e-03;0.0000000e+00;-1.0981003e-03;1.0027280e+03;3.9393677e+03;3;
2.3564883e-01;0.0000000e+00;1.4601302e-01;2061;-4.1869247e-05;0.0000000e+00;-2.1190254e-03;1.0028903e+03;4.1756689e+03;3;
2.4435407e-01;0.0000000e+00;1.3373208e-01;2190;3.6151947e-03;0.0000000e+00;-1.4917937e-04;1.0029226e+03;4.2228145e+03;3;
2.3796085e-01;0.0000000e+00;1.3551643e-01;2123;2.0268646e-03;0.0000000e+00;-1.5249982e-03;1.0035206e+03;5.0959399e+03;3;
2.3712952e-01;0.0000000e+00;1.4069031e-01;2130;1.8742539e-03;0.0000000e+00;-1.5630381e-03;1.0029175e+03;4.2153418e+03;3;
2.4067973e-01;0.0000000e+00;1.4405105e-01;2131;4.1486591e-04;0.0000000e+00;-1.0162303e-03;1.0026692e+03;3.8537227e+03;3;
2.4217050e-01;0.0000000e+00;1.3816303e-01;2191;2.2752839e-03;0.0000000e+00;-1.9218519e-03;1.0025724e+03;3.7128828e+03;3;
2.4551341e-01;0.0000000e+00;1.4194934e-01;2192;5.7776977e-04;0.0000000e+00;-2.5637140e-03;1.0031591e+03;4.5677881e+03;3;
2.4453318e-01;0.0000000e+00;1.4748894e-01;2197;2.1195112e-04;0.0000000e+00;-1.4597608e-03;1.0027185e+03;3.9255059e+03;3;
2.4792151e-01;0.0000000e+00;1.3760182e-01;2257;4.6005333e-03;0.0000000e+00;9.3138957e-04;1.0027691e+03;3.9991770e+03;3;
2.4944359e-01;0.0000000e+00;1.4534695e-01;2259;-5.9237686e-04;0.0000000e+00;-3.6244344e-03;1.0028328e+03;4.0918972e+03;3;
2.3970848e-01;0.0000000e+00;1.4944747e-01;2067;-4.9194012e-05;0.0000000e+00;-1.4949553e-03;1.0028775e+03;4.1570806e+03;3;
2.5205123e-01;0.0000000e+00;1.4155145e-01;2258;6.5301303e-03;0.0000000e+00;6.5860018e-04;1.0026537e+03;3.8311616e+03;3;
2.5269508e-01;0.0000000e+00;1.3661785e-01;2320;2.7423312e-03;0.0000000e+00;4.6904830e-04;1.0031191e+03;4.5094419e+03;3;
2.5715742e-01;0.0000000e+00;1.4032130e-01;2321;5.4044854e-03;0.0000000e+00;-9.2620769e-04;1.0030157e+03;4.3585200e+03;3;
2.5360930e-01;0.0000000e+00;1.4815694e-01;2329;1.7474499e-04;0.0000000e+00;-5.1895673e-03;1.0029167e+03;4.2141855e+03;3;
2.5778168e-01;0.0000000e+00;1.3518690e-01;2391;1.9166359e-03;0.0000000e+00;-1.1761136e-03;1.0031599e+03;4.5689463e+03;3;
2.6225555e-01;0.0000000e+00;1.3850774e-01;2392;3.7617048e-03;0.0000000e+00;-1.6629811e-03;1.0023010e+03;3.3184158e+03;3;
2.5713488e-01;0.0000000e+00;1.4515120e-01;2393;6.5883067e-03;0.0000000e+00;5.6611651e-05;1.0026414e+03;3.8133096e+03;3;
2.6741397e-01;0.0000000e+00;1.3683121e-01;2457;3.2055005e-03;0.0000000e+00;-9.0057956e-04;1.0029809e+03;4.3077886e+03;3;
2.6204333e-01;0.0000000e+00;1.4347011e-01;2458;6.5499898e-03;0.0000000e+00;-1.9385577e-03;1.0030931e+03;4.4715024e+03;3;
2.6216203e-01;0.0000000e+00;1.4847696e-01;2459;3.2413669e-03;0.0000000e+00;-6.1114924e-04;1.0025956e+03;3.7467090e+03;3;
2.6707986e-01;0.0000000e+00;1.4683788e-01;2529;3.5495609e-03;0.0000000e+00;-5.1910878e-04;1.0028138e+03;4.0642463e+03;3;
2.6705691e-01;0.0000000e+00;1.4173077e-01;2528;6.2820376e-03;0.0000000e+00;-9.0057810e-04;1.0030176e+03;4.3613687e+03;3;
2.7197617e-01;0.0000000e+00;1.3898833e-01;2527;4.5883190e-03;0.0000000e+00;-8.7627908e-04;1.0025036e+03;3.6128528e+03;3;
2.7656141e-01;0.0000000e+00;1.3664231e-01;2598;4.2751106e-03;0.0000000e+00;-9.1946608e-04;1.0031024e+03;4.4849497e+03;3;
2.7637661e-01;0.0000000e+00;1.4196022e-01;2599;3.9239358e-03;0.0000000e+00;-4.2856697e-04;1.0028666e+03;4.1411606e+03;3;
2.7181968e-01;0.0000000e+00;1.4437848e-01;2600;4.7606258e-03;0.0000000e+00;3.6035464e-04;1.0029132e+03;4.2091147e+03;3;
2.8152540e-01;0.0000000e+00;1.3458514e-01;2666;3.9727227e-03;0.0000000e+00;-3.7784324e-04;1.0025336e+03;3.6565166e+03;3;
2.8124627e-01;0.0000000e+00;1.3974603e-01;2667;3.5282932e-03;0.0000000e+00;1.4318850e-04;1.0029657e+03;4.2856304e+03;3;
2.8111821e-01;0.0000000e+00;1.4491773e-01;2668;3.4246151e-03;0.0000000e+00;7.0265487e-05;1.0027897e+03;4.0292205e+03;3;
2.8587624e-01;0.0000000e+00;1.3732117e-01;2737;3.5389033e-03;0.0000000e+00;1.7262975e-03;1.0029427e+03;4.2521738e+03;3;
2.8594720e-01;0.0000000e+00;1.4274171e-01;2738;4.0272479e-03;0.0000000e+00;1.0477842e-03;1.0028851e+03;4.1681978e+03;3;
2.8577822e-01;0.0000000e+00;1.4799252e-01;2739;2.8851170e-03;0.0000000e+00;1.7443114e-04;1.0027112e+03;3.9149326e+03;3;
2.7641392e-01;0.0000000e+00;1.4730552e-01;2601;3.3994652e-03;0.0000000e+00;4.7803656e-04;1.0027911e+03;4.0312649e+03;3;
2.7183050e-01;0.0000000e+00;1.4980794e-01;2530;2.2704247e-03;0.0000000e+00;3.0142246e-04;1.0027636e+03;3.9911777e+03;3;
2.8110623e-01;0.0000000e+00;1.5020537e-01;2669;2.0128721e-03;0.0000000e+00;3.0003453e-04;1.0029102e+03;4.2046670e+03;3;
2.9057544e-01;0.0000000e+00;1.3535823e-01;2807;3.0501497e-03;0.0000000e+00;1.4014640e-03;1.0035400e+03;5.1243330e+03;3;
2.9060128e-01;0.0000000e+00;1.4069052e-01;2808;4.6849549e-03;0.0000000e+00;1.5274845e-03;1.0025417e+03;3.6682327e+03;3;
2.9061073e-01;0.0000000e+00;1.4587703e-01;2809;4.2786910e-03;0.0000000e+00;9.1996841e-04;1.0029973e+03;4.3317290e+03;3;
2.9545373e-01;0.0000000e+00;1.3831252e-01;2880;3.6191333e-03;0.0000000e+00;1.1097573e-03;1.0026809e+03;3.8707781e+03;3;
2.9535103e-01;0.0000000e+00;1.4336997e-01;2881;4.9116309e-03;0.0000000e+00;1.2764197e-03;1.0030229e+03;4.3690239e+03;3;
